architecture,selected_prefix_count,mean_coverage,mean_hamming_risk,mean_exact_match_error,mean_brier_score,mean_log_loss
ecg_transformer,1754,0.81278962001853572,0.11410110224249319,0.3637400228050171,0.082866526294379753,0.27832809900280653
ecg_transformer,1755,0.81325301204819278,0.11418803418803403,0.36391263057929724,0.082897899324935478,0.27840097781386036
ecg_transformer,1756,0.81371640407784984,0.1141989369779801,0.36408504176157935,0.082891581519924165,0.27839358116973273
ecg_transformer,1757,0.8141797961075069,0.1143236577499524,0.36444697400872705,0.082937100000681926,0.27850281222418088
ecg_transformer,1758,0.81464318813716419,0.11437239287068622,0.36461888509670076,0.082976131004044176,0.27860324563556738
ecg_transformer,1759,0.81510658016682103,0.1144589729012695,0.36479060072010611,0.083003779362757171,0.27866519993634414
ecg_transformer,1760,0.81556997219647831,0.11446969696969679,0.36496212121212118,0.083001820430204001,0.27866821201690845
ecg_transformer,1761,0.81603336422613515,0.11459398069278802,0.36532273329547604,0.08303875243912022,0.27875018552643721
ecg_transformer,1762,0.81649675625579243,0.11479379493000359,0.3656829360575104,0.083116438043782936,0.27893962020713153
ecg_transformer,1763,0.81696014828544949,0.11472868217054245,0.3654755152202685,0.083107176995295198,0.27892666823743173
ecg_transformer,1764,0.81742354031510656,0.11481481481481463,0.36583522297808013,0.083154655412636821,0.27904581732592781
ecg_transformer,1765,0.81788693234476362,0.11501416430594884,0.36619452313503303,0.083251533392583135,0.27931464750600643
ecg_transformer,1766,0.81835032437442079,0.11506228765571896,0.36636466591166483,0.083287198667495926,0.27940822804819199
ecg_transformer,1767,0.81881371640407785,0.11518581399735882,0.36653461611016791,0.083340394479899979,0.27955082585632579
ecg_transformer,1768,0.81927710843373491,0.1152714932126695,0.3668929110105581,0.083339319460373804,0.27955306818783515
ecg_transformer,1769,0.81974050046339197,0.11535707556058018,0.36706237045411721,0.083389457543329118,0.27968376305762072
ecg_transformer,1770,0.82020389249304915,0.11529190207156291,0.36685499058380411,0.083373598243959998,0.27965749765806946
ecg_transformer,1771,0.82066728452270621,0.11533973273103688,0.36702428006775834,0.083405599137409359,0.27973126859709124
ecg_transformer,1772,0.82113067655236327,0.11531226486079739,0.36700526711813392,0.08339530081997458,0.27971588227400729
ecg_transformer,1773,0.82159406858202055,0.11547283323933051,0.36736228614401201,0.083467726623064495,0.27988299969817421
ecg_transformer,1774,0.82205746061167739,0.11559564073656503,0.36771890266816981,0.083547355234393897,0.28007030346761852
ecg_transformer,1775,0.82252085264133468,0.1156056338028167,0.36788732394366197,0.083570393350993477,0.28013487755532701
ecg_transformer,1776,0.82298424467099152,0.11565315315315294,0.36824324324324326,0.083607218659200191,0.28021832777133932
ecg_transformer,1777,0.8234476367006488,0.11577565184768317,0.36859876195835678,0.083623306999025773,0.28025795632456141
ecg_transformer,1778,0.82391102873030586,0.11586051743532039,0.36895388076490437,0.083653948916464563,0.28034243087456301
ecg_transformer,1779,0.82437442075996292,0.11587033914183976,0.36912122915495599,0.083671745359290714,0.2803909680692544
ecg_transformer,1780,0.82483781278961998,0.11595505617977508,0.36910112359550568,0.083737337776020035,0.28055656247363259
ecg_transformer,1781,0.82530120481927716,0.11596481377503254,0.36926820138498972,0.08373557130699584,0.28055846538454604
ecg_transformer,1782,0.82576459684893422,0.11601197156752692,0.36943509165731386,0.08376319246195657,0.28062530234054622
ecg_transformer,1783,0.82622798887859128,0.11605907646289004,0.36978874555991775,0.083789227748016393,0.28068698000640441
ecg_transformer,1784,0.82669138090824834,0.11618086696562012,0.37014200298953664,0.083839076363257395,0.28079814102038991
ecg_transformer,1785,0.82715477293790551,0.1161531279178336,0.37012138188608779,0.083864743813207951,0.28086498090401463
ecg_transformer,1786,0.82761816496756258,0.11631205673758843,0.37047405748413587,0.083960065249276586,0.28113243081563649
